Timestamp,Tần suất sử dụng AI Assistant trên VLearn,Thời gian trung bình bạn sử dụng để ôn tập lại bài giảng sau giờ học,"Sau khi kết thúc một buổi học, bạn thường gặp khó khăn nào nhất?
Chọn tối đa 3","Khi bạn không hiểu một nội dung trên lớp, bạn thường làm gì đầu tiên?","Điều gì khiến bạn khó hỏi lại khi không hiểu bài?
Chọn tối đa 2",Bạn thường tự kiểm tra xem mình có thực sự nhớ/hiểu bài sau buổi học không?,"Khi tự ôn bài, hoạt động nào bạn thường sử dụng?
Chọn nhiều"
9/16/2026 19:29:00,< 5 lần,dưới 20p,Không biết mình thực sự đã hiểu bài đến đâu,Bỏ qua và học tiếp,"Sợ câu hỏi quá cơ bản, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Không bao giờ,"Đọc lại slide, Đọc textbook/tài liệu"
9/16/2026 19:38:49,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,"Ngại hỏi giảng viên, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Không bao giờ,"Đọc lại slide, Đọc textbook/tài liệu, Hỏi AI"
9/16/2026 20:55:34,Chưa sử dụng,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Gặp bài tập nhưng không biết áp dụng kiến thức nào",Tự Google/tìm tài liệu,"Ngại hỏi giảng viên, Không biết diễn đạt câu hỏi",Thỉnh thoảng,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 20:55:41,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,"Ngại hỏi giảng viên, Không biết diễn đạt câu hỏi",Thỉnh thoảng,"Đọc lại slide, Đọc textbook/tài liệu, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 20:56:06,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu, Khó tự kiểm tra xem mình có nhớ kiến thức không",Tự Google/tìm tài liệu,Ngại hỏi giảng viên,Thỉnh thoảng,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm"
9/16/2026 20:56:54,< 5 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Không biết bắt đầu học/ôn từ đâu, Đọc lại slide/material nhưng vẫn không hiểu",Hỏi bạn bè,"Không biết diễn đạt câu hỏi, Bạn bè cũng không chắc câu trả lời, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thỉnh thoảng,"Đọc textbook/tài liệu, Làm quiz/câu hỏi trắc nghiệm, Hỏi AI"
9/16/2026 20:56:55,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Gặp bài tập nhưng không biết áp dụng kiến thức nào",Hỏi AI,Sợ câu hỏi quá cơ bản,Thỉnh thoảng,Làm quiz/câu hỏi trắc nghiệm
9/16/2026 20:56:56,Chưa sử dụng,dưới 20p,Không biết mình thực sự đã hiểu bài đến đâu,Hỏi AI,Ngại hỏi giảng viên,Thỉnh thoảng,Đọc lại slide
9/16/2026 20:58:22,< 5 lần,dưới 20p,"Quên kiến thức sau một thời gian ngắn, Không biết bắt đầu học/ôn từ đâu",Hỏi AI,Không gặp vấn đề này,Thỉnh thoảng,"Đọc lại slide, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 20:58:23,> 10 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào",Hỏi AI,"Ngại hỏi giảng viên, Sợ câu hỏi quá cơ bản",Thường xuyên,"Đọc lại slide, Flashcard, Hỏi AI"
9/16/2026 20:58:25,> 10 lần,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào",Hỏi bạn bè,"Sợ câu hỏi quá cơ bản, Không biết diễn đạt câu hỏi",Luôn luôn,Làm bài tập
9/16/2026 20:58:42,< 5 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn",Hỏi giảng viên,Ngại hỏi giảng viên,Luôn luôn,Đọc textbook/tài liệu
9/16/2026 23:34:39,Chưa sử dụng,> 2h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,"Ngại hỏi giảng viên, Không biết diễn đạt câu hỏi",Luôn luôn,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 23:36:01,Chưa sử dụng,Từ 20p - 1h,Gặp bài tập nhưng không biết áp dụng kiến thức nào,Hỏi AI,Bạn bè cũng không chắc câu trả lời,Thỉnh thoảng,Làm bài tập
9/16/2026 23:36:06,Chưa sử dụng,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Khó tự kiểm tra xem mình có nhớ kiến thức không",Tự Google/tìm tài liệu,"Bạn bè cũng không chắc câu trả lời, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thỉnh thoảng,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Hỏi AI, Thảo luận với bạn bè"
9/17/2026 0:20:31,5 đến 10 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Có câu hỏi nhưng ngại/không biết hỏi ai",Hỏi AI,"Ngại hỏi giảng viên, Sợ câu hỏi quá cơ bản",Thường xuyên,"Đọc lại slide, Đọc textbook/tài liệu, Làm quiz/câu hỏi trắc nghiệm"
9/17/2026 10:29:17,Chưa sử dụng,dưới 20p,"Quên kiến thức sau một thời gian ngắn, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,Không gặp vấn đề này,Thỉnh thoảng,"Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm"
